chain_id,task,model,sample_index,seeded_from_main_experiment,turn,correct,turn_speedup,best_speedup_so_far,gap_vs_eager_x,gap_vs_torch_compile_x
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,87,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,88,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,89,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,90,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,91,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,92,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,93,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,94,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,95,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,96,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,97,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,98,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,99,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,100,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,1,1,2.3038792331567386,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,2,0,,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,3,1,0.9390557308613714,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,4,0,,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,5,1,0.9072847369394392,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,6,1,0.10288949790129671,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,7,1,0.8894472729272369,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,8,1,0.8496000621378436,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,9,0,,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,10,1,0.918712929582138,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,11,0,,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,12,1,0.8714991617425897,2.3038792331567386,1.3038792331567386,
triton|0shot|1_Square_matrix_multiplication_|openai/gpt-oss-120b|901,1_Square_matrix_multiplication_,openai/gpt-oss-120b,901,1,13,0,,2.3038792331567386,1.3038792331567386,
